OrderDate,Stockdate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,multiply
2016-12-27,2003-09-23T00:00:00.0000000,TO60884,477,11060,9,3,3,9
2016-12-27,2003-11-06T00:00:00.0000000,TO60884,479,11060,9,2,2,4
2016-12-27,2003-12-07T00:00:00.0000000,TO60884,214,11060,9,4,1,4
2016-12-27,2003-11-11T00:00:00.0000000,TO60884,575,11060,9,1,1,1
2016-12-27,2003-10-03T00:00:00.0000000,TO60860,528,17601,6,2,2,4
2016-12-27,2003-11-13T00:00:00.0000000,TO60860,536,17601,6,1,2,2
2016-12-27,2003-11-19T00:00:00.0000000,TO60860,215,17601,6,3,1,3
2016-12-27,2003-11-15T00:00:00.0000000,TO60871,464,24095,7,2,2,4
2016-12-27,2003-11-20T00:00:00.0000000,TO60871,530,24095,7,1,2,2
2016-12-27,2003-10-14T00:00:00.0000000,TO60848,491,16704,9,1,1,1
2016-12-27,2003-11-13T00:00:00.0000000,TO60852,480,28801,1,2,3,6
2016-12-27,2003-11-13T00:00:00.0000000,TO60852,539,28801,1,1,3,3
2016-12-27,2003-08-31T00:00:00.0000000,TO60877,362,14380,1,1,1,1
2016-12-27,2003-12-12T00:00:00.0000000,TO60877,537,14380,1,2,1,2
2016-12-27,2003-12-03T00:00:00.0000000,TO60878,484,28472,8,2,2,4
2016-12-27,2003-12-03T00:00:00.0000000,TO60878,585,28472,8,1,1,1
2016-12-27,2003-08-31T00:00:00.0000000,TO60842,214,13522,9,1,1,1
2016-12-27,2003-09-21T00:00:00.0000000,TO60838,477,13265,8,3,2,6
2016-12-27,2003-10-31T00:00:00.0000000,TO60838,478,13265,8,2,2,4
2016-12-27,2003-11-16T00:00:00.0000000,TO60838,220,13265,8,4,1,4
2016-12-27,2003-11-11T00:00:00.0000000,TO60838,352,13265,8,1,1,1
2016-12-27,2003-11-28T00:00:00.0000000,TO60870,530,14988,10,1,3,3
2016-12-27,2003-11-20T00:00:00.0000000,TO60870,480,14988,10,3,2,6
2016-12-27,2003-11-08T00:00:00.0000000,TO60870,541,14988,10,2,1,2
2016-12-27,2003-11-12T00:00:00.0000000,TO60856,529,25896,1,2,3,6
2016-12-27,2003-12-03T00:00:00.0000000,TO60856,215,25896,1,3,1,3
2016-12-27,2003-11-26T00:00:00.0000000,TO60856,235,25896,1,4,1,4
2016-12-27,2003-09-04T00:00:00.0000000,TO60856,540,25896,1,1,1,1
2016-12-27,2003-10-30T00:00:00.0000000,TO60845,223,15039,9,1,2,2
2016-12-27,2003-09-12T00:00:00.0000000,TO60875,528,15201,6,2,2,4
2016-12-27,2003-11-03T00:00:00.0000000,TO60875,354,15201,6,1,1,1
2016-12-27,2003-11-27T00:00:00.0000000,TO60875,537,15201,6,3,1,3
2016-12-27,2003-11-15T00:00:00.0000000,TO60843,215,15149,9,1,1,1
2016-12-27,2003-12-07T00:00:00.0000000,TO60876,356,13904,4,1,1,1
2016-12-27,2003-12-08T00:00:00.0000000,TO60864,477,13175,6,1,2,2
2016-12-27,2003-09-30T00:00:00.0000000,TO60864,220,13175,6,2,1,2
2016-12-27,2003-11-16T00:00:00.0000000,TO60866,477,22384,8,1,2,2
2016-12-27,2003-12-01T00:00:00.0000000,TO60866,214,22384,8,2,1,2
2016-12-27,2003-11-28T00:00:00.0000000,TO60846,223,17313,9,1,3,3
2016-12-27,2003-10-21T00:00:00.0000000,TO60840,480,17074,9,3,2,6
2016-12-27,2003-10-20T00:00:00.0000000,TO60840,529,17074,9,2,2,4
2016-12-27,2003-09-17T00:00:00.0000000,TO60840,539,17074,9,1,2,2
2016-12-27,2003-08-29T00:00:00.0000000,TO60863,477,16993,1,1,2,2
2016-12-27,2003-10-18T00:00:00.0000000,TO60863,483,16993,1,2,1,2
2016-12-27,2003-12-02T00:00:00.0000000,TO60853,480,11331,6,3,3,9
2016-12-27,2003-09-29T00:00:00.0000000,TO60853,530,11331,6,2,2,4
2016-12-27,2003-11-01T00:00:00.0000000,TO60853,541,11331,6,1,2,2
2016-12-27,2003-08-30T00:00:00.0000000,TO60855,535,26289,4,1,3,3
2016-12-27,2003-11-21T00:00:00.0000000,TO60855,528,26289,4,2,1,2
2016-12-27,2003-10-13T00:00:00.0000000,TO60869,477,26208,10,1,2,2
2016-12-27,2003-10-30T00:00:00.0000000,TO60869,214,26208,10,2,1,2
2016-12-27,2003-09-02T00:00:00.0000000,TO60869,223,26208,10,3,1,3
2016-12-27,2003-10-28T00:00:00.0000000,TO60892,477,22627,8,3,2,6
2016-12-27,2003-10-24T00:00:00.0000000,TO60892,479,22627,8,2,2,4
2016-12-27,2003-09-26T00:00:00.0000000,TO60892,220,22627,8,4,1,4
2016-12-27,2003-12-06T00:00:00.0000000,TO60892,606,22627,8,1,1,1
2016-12-27,2003-12-12T00:00:00.0000000,TO60880,480,19956,9,4,2,8
2016-12-27,2003-10-13T00:00:00.0000000,TO60880,529,19956,9,2,2,4
2016-12-27,2003-11-10T00:00:00.0000000,TO60880,379,19956,9,1,1,1
2016-12-27,2003-11-02T00:00:00.0000000,TO60880,540,19956,9,3,1,3
2016-12-27,2003-11-26T00:00:00.0000000,TO60881,539,20214,9,2,1,2
2016-12-27,2003-12-08T00:00:00.0000000,TO60881,580,20214,9,1,1,1
2016-12-27,2003-09-02T00:00:00.0000000,TO60888,604,17518,1,1,1,1
2016-12-27,2003-11-27T00:00:00.0000000,TO60891,223,20830,8,3,2,6
2016-12-27,2003-09-09T00:00:00.0000000,TO60891,383,20830,8,1,1,1
2016-12-27,2003-09-17T00:00:00.0000000,TO60891,489,20830,8,2,1,2
2016-12-28,2003-10-08T00:00:00.0000000,TO60897,535,13523,9,2,3,6
2016-12-28,2003-12-11T00:00:00.0000000,TO60897,480,13523,9,3,2,6
2016-12-28,2003-11-15T00:00:00.0000000,TO60897,528,13523,9,1,1,1
2016-12-28,2003-12-12T00:00:00.0000000,TO60917,529,20161,7,1,2,2
2016-12-28,2003-11-25T00:00:00.0000000,TO60917,220,20161,7,2,1,2
2016-12-28,2003-09-22T00:00:00.0000000,TO60902,529,15172,6,2,3,6
2016-12-28,2003-10-10T00:00:00.0000000,TO60902,539,15172,6,1,2,2
2016-12-28,2003-09-27T00:00:00.0000000,TO60902,214,15172,6,3,1,3
2016-12-28,2003-11-21T00:00:00.0000000,TO60912,528,16091,4,1,3,3
2016-12-28,2003-09-12T00:00:00.0000000,TO60912,214,16091,4,2,1,2
2016-12-28,2003-09-05T00:00:00.0000000,TO60927,485,13911,1,2,2,4
2016-12-28,2003-11-25T00:00:00.0000000,TO60927,235,13911,1,3,1,3
2016-12-28,2003-11-08T00:00:00.0000000,TO60927,360,13911,1,1,1,1
2016-12-28,2003-11-05T00:00:00.0000000,TO60909,226,15418,6,2,1,2
2016-12-28,2003-11-16T00:00:00.0000000,TO60909,474,15418,6,1,1,1
2016-12-28,2003-11-22T00:00:00.0000000,TO60938,462,28321,9,3,2,6
2016-12-28,2003-09-26T00:00:00.0000000,TO60938,220,28321,9,2,1,2
2016-12-28,2003-10-18T00:00:00.0000000,TO60938,605,28321,9,1,1,1
2016-12-28,2003-12-04T00:00:00.0000000,TO60926,223,19706,1,5,2,10
2016-12-28,2003-10-26T00:00:00.0000000,TO60926,477,19706,1,3,2,6
2016-12-28,2003-12-04T00:00:00.0000000,TO60926,478,19706,1,2,2,4
2016-12-28,2003-10-09T00:00:00.0000000,TO60926,488,19706,1,4,1,4
2016-12-28,2003-10-31T00:00:00.0000000,TO60926,599,19706,1,1,1,1
2016-12-28,2003-09-16T00:00:00.0000000,TO60933,223,25574,7,2,2,4
2016-12-28,2003-09-29T00:00:00.0000000,TO60933,235,25574,7,3,1,3
2016-12-28,2003-10-09T00:00:00.0000000,TO60933,579,25574,7,1,1,1
2016-12-28,2003-11-08T00:00:00.0000000,TO60918,530,12654,10,2,2,4
2016-12-28,2003-09-01T00:00:00.0000000,TO60918,541,12654,10,1,2,2
2016-12-28,2003-09-10T00:00:00.0000000,TO60918,480,12654,10,3,1,3
2016-12-28,2003-10-13T00:00:00.0000000,TO60905,528,23727,4,1,2,2
2016-12-28,2003-12-13T00:00:00.0000000,TO60905,536,23727,4,2,2,4
2016-12-28,2003-09-01T00:00:00.0000000,TO60943,491,24645,1,2,1,2
2016-12-28,2003-12-07T00:00:00.0000000,TO60943,576,24645,1,1,1,1
2016-12-28,2003-09-10T00:00:00.0000000,TO60907,477,27112,6,1,3,3
2016-12-28,2003-09-29T00:00:00.0000000,TO60907,466,27112,6,4,2,8
2016-12-28,2003-11-11T00:00:00.0000000,TO60907,220,27112,6,2,1,2
2016-12-28,2003-11-19T00:00:00.0000000,TO60907,226,27112,6,3,1,3
2016-12-28,2003-11-03T00:00:00.0000000,TO60910,477,17459,4,1,2,2
2016-12-28,2003-12-03T00:00:00.0000000,TO60910,487,17459,4,2,1,2
2016-12-28,2003-09-24T00:00:00.0000000,TO60929,478,13492,4,2,3,6
2016-12-28,2003-10-23T00:00:00.0000000,TO60929,223,13492,4,4,2,8
2016-12-28,2003-09-01T00:00:00.0000000,TO60929,477,13492,4,3,2,6
2016-12-28,2003-11-26T00:00:00.0000000,TO60929,358,13492,4,1,1,1
2016-12-28,2003-11-11T00:00:00.0000000,TO60955,477,29478,10,3,2,6
2016-12-28,2003-09-26T00:00:00.0000000,TO60955,479,29478,10,2,2,4
2016-12-28,2003-11-30T00:00:00.0000000,TO60955,575,29478,10,1,1,1
2016-12-28,2003-10-06T00:00:00.0000000,TO60951,226,24030,10,2,1,2
2016-12-28,2003-11-14T00:00:00.0000000,TO60951,381,24030,10,1,1,1
2016-12-28,2003-10-06T00:00:00.0000000,TO60901,235,16033,10,2,1,2
2016-12-28,2003-09-25T00:00:00.0000000,TO60901,588,16033,10,1,1,1
2016-12-28,2003-12-06T00:00:00.0000000,TO60896,477,13405,7,2,2,4
2016-12-28,2003-08-30T00:00:00.0000000,TO60896,478,13405,7,3,2,6
2016-12-28,2003-11-10T00:00:00.0000000,TO60896,220,13405,7,4,1,4
2016-12-28,2003-11-15T00:00:00.0000000,TO60896,362,13405,7,1,1,1
2016-12-28,2003-11-10T00:00:00.0000000,TO60913,485,22363,6,1,2,2
2016-12-28,2003-09-20T00:00:00.0000000,TO60913,215,22363,6,2,1,2
2016-12-28,2003-10-25T00:00:00.0000000,TO60898,480,18714,9,1,1,1
2016-12-28,2003-11-29T00:00:00.0000000,TO60915,477,21131,8,1,3,3
2016-12-28,2003-11-25T00:00:00.0000000,TO60915,214,21131,8,2,1,2
2016-12-28,2003-12-09T00:00:00.0000000,TO60937,220,28318,9,2,1,2
2016-12-28,2003-09-23T00:00:00.0000000,TO60937,605,28318,9,1,1,1
2016-12-28,2003-09-06T00:00:00.0000000,TO60940,477,26606,1,3,2,6
2016-12-28,2003-09-08T00:00:00.0000000,TO60940,220,26606,1,4,1,4
2016-12-28,2003-12-08T00:00:00.0000000,TO60940,226,26606,1,5,1,5
2016-12-28,2003-11-12T00:00:00.0000000,TO60940,479,26606,1,2,1,2
2016-12-28,2003-09-01T00:00:00.0000000,TO60940,585,26606,1,1,1,1
2016-12-28,2003-12-10T00:00:00.0000000,TO60954,477,22426,7,2,2,4
2016-12-28,2003-11-23T00:00:00.0000000,TO60954,479,22426,7,3,2,6
2016-12-28,2003-10-18T00:00:00.0000000,TO60954,606,22426,7,1,1,1
